nummer,from,gemeentenaamvolledig,provicie,regio,,,,
1,Aa.en.Hunze,Aa en Hunze,Drenthe,,,,,
2,Achtkarspelen,Achtkarspelen,Friesland,,,,,
3,Ameland,Ameland,Friesland,,,,provincie,regio
4,Appingedam,Appingedam,Groningen,,,,Groningen,
5,Assen,Assen,Drenthe,,,,Friesland,
6,Bedum,Bedum,Groningen,,,,Drenthe,
7,Bellingwedde,Bellingwedde,Groningen,,,,,
8,het.Bildt,het Bildt,Friesland,,,,,
9,Boarnsterhim,Boarnsterhim,Friesland,,,,,
10,Ten.Boer,Ten Boer,Groningen,,,,,
11,Borger.Odoorn,Borger Odoorn,Drenthe,,,,,
12,Coevorden,Coevorden,Drenthe,,,,,
13,Dantumadiel,Dantumadiel,Friesland,,,,,
14,Delfzijl,Delfzijl,Groningen,,,,,
15,Dongeradeel,Dongeradeel,Friesland,,,,,
16,Eemsmond,Eemsmond,Groningen,,,,,
17,Emmen,Emmen,Drenthe,,,,,
18,Ferwerderadiel,Ferwerderadiel,Friesland,,,,,
19,Franekeradeel,Franekeradeel,Friesland,,,,,
20,De.Friese.Meren,De Friese Meren,Friesland,,,,,
21,De.Fryske.Marren,De Fryske Marren,Friesland,,,,,
22,Gaasterlân.Sleat,Gaasterlân Sleat,Friesland,,,,,
23,Groningen,Groningen,Groningen,,,,,
24,Grootegast,Grootegast,Groningen,,,,,
25,Haren,Haren,Groningen,,,,,
26,Harlingen,Harlingen,Friesland,,,,,
27,Heerenveen,Heerenveen,Friesland,,,,,
28,Hoogeveen,Hoogeveen,Drenthe,,,,,
29,Hoogezand.Sappemeer,Hoogezand Sappemeer,Groningen,,,,,
30,Kollumerland.en.Nieuwkruisland,Kollumerland en Nieuwkruisland,Friesland,,,,,
31,Leek,Leek,Groningen,,,,,
32,Leeuwarden,Leeuwarden,Friesland,,,,,
33,Leeuwarderadeel,Leeuwarderadeel,Friesland,,,,,
34,Lemsterland,Lemsterland,Friesland,,,,,
35,Littenseradiel,Littenseradiel,Friesland,,,,,
36,Loppersum,Loppersum,Groningen,,,,,
37,De.Marne,De Marne,Groningen,,,,,
38,Marum,Marum,Groningen,,,,,
39,Menameradiel,Menameradiel,Friesland,,,,,
40,Menterwolde,Menterwolde,Groningen,,,,,
41,Meppel,Meppel,Drenthe,,,,,
42,Midden.Drenthe,Midden Drenthe,Drenthe,,,,,
43,Midden.Groningen,Midden Groningen,Groningen,,,,,
44,Noordenveld,Noordenveld,Drenthe,,,,,
45,Oldambt,Oldambt,Groningen,,,,,
46,Ooststellingwerf,Ooststellingwerf,Friesland,,,,,
47,Opsterland,Opsterland,Friesland,,,,,
48,Pekela,Pekela,Groningen,,,,,
49,Schiermonnikoog,Schiermonnikoog,Friesland,,,,,
50,Skarsterlân,Skarsterlân,Friesland,,,,,
51,Slochteren,Slochteren,Groningen,,,,,
52,Smallingerland,Smallingerland,Friesland,,,,,
53,Stadskanaal,Stadskanaal,Groningen,,,,,
54,Súdwest.Fryslân,Súdwest Fryslân,Friesland,,,,,
55,Terschelling,Terschelling,Friesland,,,,,
56,Tynaarlo,Tynaarlo,Drenthe,,,,,
57,Tytsjerksteradiel,Tytsjerksteradiel,Friesland,,,,,
58,Veendam,Veendam,Groningen,,,,,
59,Vlagtwedde,Vlagtwedde,Groningen,,,,,
60,Vlieland,Vlieland,Friesland,,,,,
61,Waadhoeke,Waadhoeke,Friesland,,,,,
62,Westerveld,Westerveld,Drenthe,,,,,
63,Westerwolde,Westerwolde,Groningen,,,,,
64,Weststellingwerf,Weststellingwerf,Friesland,,,,,
65,Winsum,Winsum,Groningen,,,,,
66,De.Wolden,De Wolden,Drenthe,,,,,
67,Zuidhorn,Zuidhorn,Groningen,,,,,
