from,to,Migration,year,gemeente fromnaamvolledig,provincie from
Aa.en.Hunze,Aa.en.Hunze,NA,2011,Aa en Hunze,Drenthe
Achtkarspelen,Aa.en.Hunze,0,2011,Achtkarspelen,Friesland
Ameland,Aa.en.Hunze,0,2011,Ameland,Friesland
Appingedam,Aa.en.Hunze,0,2011,Appingedam,Groningen
Assen,Aa.en.Hunze,123,2011,Assen,Drenthe
Bedum,Aa.en.Hunze,3,2011,Bedum,Groningen
Bellingwedde,Aa.en.Hunze,3,2011,Bellingwedde,Groningen
het.Bildt,Aa.en.Hunze,1,2011,het Bildt,Friesland
Boarnsterhim,Aa.en.Hunze,1,2011,Boarnsterhim,Friesland
Ten.Boer,Aa.en.Hunze,5,2011,Ten Boer,Groningen
Borger.Odoorn,Aa.en.Hunze,54,2011,Borger Odoorn,Drenthe
Coevorden,Aa.en.Hunze,17,2011,Coevorden,Drenthe
Dantumadiel,Aa.en.Hunze,1,2011,Dantumadiel,Friesland
Delfzijl,Aa.en.Hunze,7,2011,Delfzijl,Groningen
Dongeradeel,Aa.en.Hunze,0,2011,Dongeradeel,Friesland
Eemsmond,Aa.en.Hunze,12,2011,Eemsmond,Groningen
Emmen,Aa.en.Hunze,38,2011,Emmen,Drenthe
Ferwerderadiel,Aa.en.Hunze,0,2011,Ferwerderadiel,Friesland
Franekeradeel,Aa.en.Hunze,1,2011,Franekeradeel,Friesland
De.Friese.Meren,Aa.en.Hunze,NA,2011,De Friese Meren,Friesland
De.Fryske.Marren,Aa.en.Hunze,NA,2011,De Fryske Marren,Friesland
Gaasterlân.Sleat,Aa.en.Hunze,0,2011,Gaasterlân Sleat,Friesland
Groningen,Aa.en.Hunze,167,2011,Groningen,Groningen
Grootegast,Aa.en.Hunze,0,2011,Grootegast,Groningen
Haren,Aa.en.Hunze,19,2011,Haren,Groningen
Harlingen,Aa.en.Hunze,0,2011,Harlingen,Friesland
Heerenveen,Aa.en.Hunze,1,2011,Heerenveen,Friesland
Hoogeveen,Aa.en.Hunze,16,2011,Hoogeveen,Drenthe
