https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
regio van aankomst,Aa en Hunze,,3,0,3,144,0,5,1,0,0,52,9,0,5,0,3,24,0,0,,,0,208,1,10,0,2,15,6,1,3,8,0,0,0,0,2,0,0,4,8,23,,16,27,2,0,10,0,1,4,4,74,9,0,63,0,54,7,0,,1,,0,2,4,1
,Achtkarspelen,0,,1,0,1,1,0,4,3,0,0,0,51,1,25,0,2,6,2,,,1,80,51,0,9,14,4,0,70,8,76,2,1,2,0,2,5,3,0,2,2,,7,2,21,30,2,1,8,0,124,1,15,2,3,69,1,1,1,,1,,2,1,1,7
,Ameland,0,3,,1,0,1,0,1,0,0,0,1,3,0,5,0,2,1,2,,,0,5,0,0,0,0,1,0,0,0,49,2,0,2,0,0,0,1,0,0,0,,3,1,0,0,0,0,1,0,2,0,1,0,0,6,0,0,0,,0,,0,0,0,0
,Appingedam,0,0,0,,9,7,1,0,1,8,2,1,0,182,0,5,6,1,0,,,0,61,2,7,0,0,2,7,0,5,6,0,0,0,15,3,1,0,5,0,0,,0,13,0,0,5,0,0,11,1,3,1,2,5,0,6,3,0,,0,,1,2,0,0
,Assen,123,3,0,10,,5,12,1,1,0,37,19,1,5,4,4,76,2,4,,,0,512,5,21,4,16,59,24,3,20,40,0,0,0,5,3,3,1,5,29,211,,85,17,58,8,8,0,1,9,14,29,7,2,122,5,14,7,0,,15,,0,12,15,10
,Bedum,3,2,2,3,4,,0,0,0,13,0,0,0,9,0,13,3,1,0,,,0,159,3,8,0,1,2,6,1,7,2,0,0,0,7,11,2,0,1,1,3,,9,8,4,1,1,0,0,6,5,1,1,2,7,0,6,2,0,,2,,0,14,0,13
,Bellingwedde,3,0,0,3,7,0,,0,0,0,8,3,0,3,0,2,16,0,0,,,0,56,0,1,0,0,1,4,0,1,2,1,1,0,0,0,2,0,4,2,0,,1,124,0,0,44,0,0,4,0,38,2,0,5,2,13,32,0,,1,,0,1,0,0
,het Bildt,1,2,0,0,2,0,0,,4,0,0,1,2,0,9,0,3,29,49,,,0,16,2,5,17,23,5,1,5,0,90,27,0,1,0,0,1,44,0,0,1,,1,0,1,2,0,1,8,0,9,1,13,2,2,11,0,12,1,,1,,3,0,0,0
,Boarnsterhim,1,1,2,0,1,0,0,0,,0,1,2,3,1,4,0,0,1,17,,,2,52,2,1,9,83,0,0,2,2,150,7,1,31,0,0,1,7,0,2,1,,1,1,2,32,1,1,32,1,34,0,62,7,0,26,1,0,2,,3,,10,1,0,0
,Ten Boer,5,0,0,17,7,9,0,0,0,,2,0,0,12,2,8,5,0,1,,,0,135,0,3,1,1,2,5,0,5,0,0,0,0,32,8,2,0,0,0,2,,16,6,1,0,0,0,0,16,1,2,0,0,1,0,0,1,0,,0,,0,4,1,3
