Groningen Municipality level migration,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
regio van aankomst,Appingedam,,7,1,8,182,5,61,2,7,7,5,15,3,1,5,,13,5,11,3,6,3,,2,0
,Bedum,3,,0,13,9,13,159,3,8,6,7,7,11,2,1,,8,1,6,1,6,2,,14,13
,Bellingwedde,3,0,,0,3,2,56,0,1,4,1,0,0,2,4,,124,44,4,38,13,32,,1,0
,Ten Boer,17,9,0,,12,8,135,0,3,5,5,32,8,2,0,,6,0,16,2,0,1,,4,3
,Delfzijl,238,16,2,9,,33,209,1,8,12,2,34,6,0,12,,69,6,38,8,16,22,,5,2
,Eemsmond,15,15,0,16,39,,144,0,1,11,4,37,7,1,4,,10,1,6,4,9,4,,40,0
,Groningen,58,145,18,217,116,89,,33,480,287,207,86,59,43,46,,146,25,205,89,149,57,,145,295
,Grootegast,1,2,1,0,3,1,80,,3,2,36,0,0,34,3,,1,3,0,1,1,0,,1,39
,Haren,2,7,0,4,4,2,397,4,,23,7,2,2,3,9,,2,0,11,3,3,0,,6,0
,Hoogezand-Sappemeer,5,10,4,2,49,3,307,2,11,,40,10,3,3,59,,53,12,84,20,71,15,,2,6
,Leek,3,4,2,1,10,7,267,35,5,15,,3,1,67,2,,17,7,2,1,10,3,,3,34
,Loppersum,45,18,1,20,51,45,109,0,2,1,1,,3,1,1,,6,1,9,4,2,0,,18,6
,De Marne,3,6,0,2,11,27,76,0,5,8,2,5,,1,1,,2,1,4,0,2,1,,51,18
,Marum,0,0,0,0,0,0,73,45,0,6,65,0,1,,2,,7,0,1,2,1,1,,0,9
,Menterwolde,6,2,4,7,7,2,77,4,2,62,1,0,1,0,,,46,13,14,9,94,12,,0,2
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldambt,7,3,86,3,69,11,290,3,10,57,11,11,0,2,51,,,139,15,60,91,31,,7,4
,Pekela,8,3,43,1,12,1,67,2,1,16,1,2,1,0,16,,134,,8,47,70,27,,0,1
,Slochteren,31,1,5,15,38,10,179,0,9,102,3,6,5,0,14,,24,1,,3,6,2,,2,4
,Stadskanaal,1,2,15,1,6,1,179,4,6,18,4,3,3,3,9,,55,33,5,,34,118,,3,1
,Veendam,3,3,18,0,10,1,198,1,7,47,9,2,2,1,89,,80,79,12,34,,14,,2,3
,Vlagtwedde,1,0,34,7,14,1,89,0,1,13,2,1,2,1,11,,23,17,1,152,15,,,3,1
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,
,Winsum,0,29,1,5,13,31,189,8,5,11,5,10,45,0,1,,4,1,4,3,0,0,,,31
,Zuidhorn,5,4,1,1,2,4,290,45,8,3,40,2,13,15,1,,3,0,6,0,4,1,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
regio van aankomst,Appingedam,5,1,5,156,8,92,1,6,12,6,28,3,4,0,,10,7,15,5,5,2,,2,1,
,Bedum,4,,1,12,2,15,147,0,7,4,7,17,7,5,2,,9,0,1,1,2,1,,25,2
,Bellingwedde,1,1,,0,36,2,50,0,3,7,3,0,0,1,2,,142,41,3,44,26,48,,2,0
,Ten Boer,13,12,0,,2,5,112,3,2,7,5,16,1,5,0,,0,0,9,1,1,0,,1,4
,Delfzijl,220,2,5,6,,24,219,5,7,19,6,37,4,1,14,,60,15,27,10,17,15,,5,5
,Eemsmond,22,18,2,4,39,,153,1,9,15,5,62,4,0,3,,13,0,5,3,5,1,,48,7
