Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,0,0,1,155,0,2,0,,1,73,13,1,1,0,2,40,0,2,0,,,226,2,17,0,0,20,25,0,1,10,0,,2,0,6,4,0,11,7,16,,9,23,4,1,12,0,,6,6,69,2,0,77,1,56,5,0,,4,,0,2,2,3
0,,0,1,4,1,0,1,,0,0,5,41,0,18,2,2,2,0,4,,,78,40,0,6,25,1,1,79,6,61,4,,1,1,4,6,0,0,3,0,,7,3,10,19,0,0,,1,145,1,7,5,5,77,2,0,1,,0,,5,0,0,2
0,0,,0,5,1,0,2,,0,0,0,4,0,9,0,1,2,1,0,,,7,3,1,2,2,1,0,3,0,58,0,,2,0,0,0,0,0,0,2,,0,0,0,0,0,2,,0,1,0,5,0,1,3,0,0,0,,0,,2,1,0,0
3,0,0,,6,3,0,0,,14,4,3,0,184,0,7,0,0,1,0,,,106,0,3,2,1,3,10,0,2,8,0,,0,39,0,0,0,7,0,6,,6,9,0,0,0,0,,31,2,1,3,0,4,0,6,2,0,,0,,0,3,0,1
142,2,1,2,,6,7,1,,6,35,21,0,13,2,8,91,0,1,5,,,540,5,19,3,17,74,31,0,21,36,0,,0,5,11,7,0,4,25,244,,96,18,65,3,5,1,,7,16,30,6,2,102,7,33,12,2,,27,,7,5,24,9
6,1,0,2,12,,2,0,,24,0,0,0,4,2,20,3,0,0,0,,,190,5,2,0,1,1,10,0,1,3,0,,1,19,10,0,0,1,0,6,,3,1,2,1,3,1,,13,1,5,6,0,5,0,11,4,1,,0,,1,25,1,19
1,2,0,2,6,0,,3,,0,7,0,8,9,0,1,12,0,0,2,,,60,1,1,0,0,3,4,7,0,10,0,,0,0,0,0,0,5,0,1,,5,119,0,0,46,0,,5,0,32,0,0,0,1,19,30,0,,1,,0,0,0,0
0,3,0,0,0,2,0,,,0,0,0,1,0,9,0,0,12,42,4,,,20,0,1,10,10,0,0,11,0,135,40,,9,0,1,1,49,0,1,2,,2,5,6,0,0,0,,0,7,0,36,3,0,17,0,0,1,,0,,2,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,6,6,9,1,0,,,0,0,0,7,0,7,0,0,0,2,,,135,0,8,0,0,4,3,2,3,1,0,,0,33,13,4,0,1,1,1,,4,0,1,0,1,0,,6,1,1,0,0,0,0,0,0,0,,2,,0,7,1,11
