regio from,region n from
Oost-Drenthe,7
Oost-Friesland,12
Noord-Friesland,11
Noord-Groningen,1
Midden-Drenthe,10
Noord-Groningen,1
Oost-Groningen,2
Noord-Friesland,11
Midden-Friesland,15
Midden-Groningen,5
Oost-Drenthe,7
Zuid-Drenthe,8
Noord-Friesland,11
Noord-Groningen,1
Noord-Friesland,11
Noord-Groningen,1
Oost-Drenthe,7
Noord-Friesland,11
West-Friesland,14
Zuid-Friesland,13
Zuid-Friesland,13
Zuid-Friesland,13
Midden-Groningen,5
West-Groningen,4
Midden-Groningen,5
West-Friesland,14
Zuid-Friesland,13
Zuid-Drenthe,8
Midden-Groningen,5
Noord-Friesland,11
West-Groningen,4
Midden-Friesland,15
Noord-Friesland,11
Zuid-Friesland,13
Midden-Friesland,15
Noord-Groningen,1
Noord-Groningen,1
West-Groningen,4
Midden-Friesland,15
Oost-Groningen,2
West-Drenthe,9
Midden-Drenthe,10
Midden-Groningen,5
Noord-Drenthe,6
Oost-Groningen,2
Oost-Friesland,12
Oost-Friesland,12
Zuid-Groningen,3
Noord-Friesland,11
Zuid-Friesland,13
Midden-Groningen,5
Oost-Friesland,12
Zuid-Groningen,3
Zuid-Friesland,13
Noord-Friesland,11
Noord-Drenthe,6
Midden-Friesland,15
Zuid-Groningen,3
Zuid-Groningen,3
Noord-Friesland,11
West-Friesland,14
West-Drenthe,9
Oost-Groningen,2
Zuid-Friesland,13
Noord-Groningen,1
Zuid-Drenthe,8
West-Groningen,4
